code_uic,nom,commune,departement,lat,lon,paris_min,paris_gare
87751842,Ste-Marthe-en-Provence,Marseille,BOUCHES-DU-RHONE,43.339334,5.390443,,
87575050,Ste-Maure-Noyant,Noyant-De-Touraine,INDRE-ET-LOIRE,47.111275,0.577057,,
87742262,Ste-Musse,Toulon,VAR,43.124357,5.973095,,
87481226,Ste-Pazanne,Sainte-Pazanne,LOIRE-ATLANTIQUE,47.102437,-1.817875,,
87342295,Steenbecque,Steenbecque,NORD,50.679643,2.508672,,
87286161,Steenwerck,Bailleul,NORD,50.713442,2.785581,,
87212209,Steinbourg,Steinbourg,BAS-RHIN,48.763487,7.413843,,
87212126,Stephansfeld,Brumath,BAS-RHIN,48.718322,7.704317,,
87212191,Strasbourg-Roethig,Lingolsheim,BAS-RHIN,48.563304,7.694915,,
87212027,Strasbourg-Ville,Strasbourg,BAS-RHIN,48.58287,7.731595,113,Paris Gare de l'Est
87286203,Strazeele,Strazeele,NORD,50.713613,2.630094,,
87590828,Sucé-sur-Erdre,Suce-Sur-Erdre,LOIRE-ATLANTIQUE,47.342703,-1.530637,,
87444562,Surdon,Le Chateau-D'Almeneches,ORNE,48.664368,0.135919,,
87382374,Suresnes-Mont-Valérien,Suresnes,HAUTS-DE-SEINE,48.871317,2.220779,,
87485227,Surgères,Surgeres,CHARENTE-MARITIME,46.113414,-0.7611,,
87276261,Survilliers-Fosses,Fosses,VAL-D'OISE,49.099542,2.525587,,
87726422,Sury-le-Comtal,Sury-Le-Comtal,LOIRE,45.529055,4.182501,,
87574236,Suèvres,Suevres,LOIR-ET-CHER,47.680633,1.454682,,
87773200,Sète,Sete,HERAULT,43.412799,3.696609,,
87393124,Sèvres-Rive-Gauche,Sevres,HAUTS-DE-SEINE,48.821111,2.214822,,
87382341,Sèvres-Ville-d'Avray,Sevres,HAUTS-DE-SEINE,48.826992,2.200692,,
87444695,Sées,Sees,ORNE,48.599428,0.166384,,
87214056,Sélestat,Selestat,BAS-RHIN,48.260654,7.442441,,
87753715,Sénas,Senas,BOUCHES-DU-RHONE,43.740893,5.073228,,
87751636,Séon-St-Henry,Marseille,BOUCHES-DU-RHONE,43.361122,5.342526,,
87381269,Sérifontaine,Serifontaine,OISE,49.356637,1.764408,,
87722546,Sérézin,Ternay,RHONE,45.626336,4.817243,,
87476754,Sévérac,Severac,LOIRE-ATLANTIQUE,47.549834,-2.072787,,
87783365,Sévérac-le-Château,Severac D'Aveyron,AVEYRON,44.311939,3.063254,,
87313882,TGV Haute-Picardie,Estrees-Deniecourt,SOMME,49.858641,2.832196,,
87393454,Tacoignières-Richebourg,Tacoignieres,YVELINES,48.829383,1.668976,,
87746750,Taconnaz,Les Houches,HAUTE-SAVOIE,45.899406,6.826163,,
87181057,Tagolsheim,Tagolsheim,HAUT-RHIN,47.65582,7.264319,,
87491043,Taillebourg,Taillebourg,CHARENTE-MARITIME,45.82966,-0.643918,,
87761163,Tain-l'Hermitage-Tournon,Tain-L'Hermitage,DROME,45.072028,4.841448,,
87141598,Tantonville,Tantonville,MEURTHE-ET-MOSELLE,48.483911,6.12921,,
87615674,Tanus,Tanus,TARN,44.100393,2.315304,,
87721472,Tarare,Tarare,RHONE,45.88967,4.439388,,
87765354,Tarascon,Tarascon,BOUCHES-DU-RHONE,43.801276,4.657792,,
87611590,Tarascon-sur-Ariège,Tarascon-Sur-Ariege,ARIEGE,42.849488,1.599986,,
87671008,Tarbes,Tarbes,HAUTES-PYRENEES,43.240314,0.068299,,
87721514,Tassin,Tassin-La-Demi-Lune,RHONE,45.761758,4.758653,,
87276634,Taverny,Taverny,VAL-D'OISE,49.025283,2.221583,,
87396051,Teillé,Teille,SARTHE,48.181389,0.191517,,
87286625,Templeuve,Templeuve-En-Pevele,NORD,50.528834,3.176194,,
87743757,Tenay-Hauteville,Tenay,AIN,45.922296,5.50096,,
87756882,Tende,Tende,ALPES-MARITIMES,44.089889,7.594322,,
87296442,Tergnier,Tergnier,AISNE,49.656445,3.295931,,
87594408,Terrasson,Terrasson-Lavilledieu,DORDOGNE,45.135805,1.300452,,
87615245,Tessonnières,Gaillac,TARN,43.929369,1.939094,,
87193342,Teting,Teting-Sur-Nied,MOSELLE,49.051719,6.664731,,
87182568,Thann,Thann,HAUT-RHIN,47.809052,7.106969,,
87472605,Thann-Centre,Thann,HAUT-RHIN,47.810006,7.101052,,
87182881,Thann-St-Jacques,Thann,HAUT-RHIN,47.813247,7.093343,,
87144097,Thaon,Thaon-Les-Vosges,VOSGES,48.244697,6.416023,,
87543199,Theillay,Theillay,LOIR-ET-CHER,47.315527,2.044528,,
87713099,Thenissey,Thenissey,COTE-D'OR,47.494525,4.623164,,
87595579,Thenon,Thenon,DORDOGNE,45.160018,1.068999,,
87141432,Thiaville,Thiaville-Sur-Meurthe,MEURTHE-ET-MOSELLE,48.413712,6.810429,,
87342287,Thiennes,Thiennes,NORD,50.65101,2.471271,,
87734475,Thiers,Thiers,PUY-DE-DOME,45.861205,3.543281,,
87272054,Thieux-Nantouillet,Nantouillet,SEINE-ET-MARNE,49.008626,2.680662,,
87191007,Thionville,Thionville,MOSELLE,49.353725,6.169815,,
87595124,Thiviers,Thiviers,DORDOGNE,45.419487,0.921932,,
87682252,Thomery,Fontainebleau,SEINE-ET-MARNE,48.394409,2.762225,,
87745646,Thonon-les-Bains,Thonon-Les-Bains,HAUTE-SAVOIE,46.369193,6.482719,,
87487009,Thouars,Thouars,DEUX-SEVRES,46.985051,-0.208939,,
87481143,Thouaré,Thouare-Sur-Loire,LOIRE-ATLANTIQUE,47.26518,-1.441081,,
87276741,Thourotte,Thourotte,OISE,49.475248,2.881414,,
87381822,Thun-le-Paradis,Meulan-En-Yvelines,YVELINES,49.006794,1.920223,,
